,conversation
26867,"Uhhh, mine too! Yeah."
26868,Wow! It's really red! You should go see my eye doctor.
26869,Richard? I'm not gonna go see your ex-boyfriend!
26870,"Oh, Richard. That's all I ever hear, Richard, Richard, Richard!"
26871,"Since we've been going out, I think I've mentioned his name twice!"
26872,"Okay, so Richard, Richard!"
26873,It's not Richard! Okay? It's this new guy and he's really good.
26874,"Well, I'm sorry I'm not going to an eye doctor!"
26875,"Oh God, here we go!"
26876,What?
26877,Anytime anything comes close to touching her eye or anyone else's she like freaks out. Watch! Watch!
26878,"Ross! Come on! That's all right! Fine--Okay, I have a weird thing about my eye. Can we not talk about it please?"
26879,"All right, fine."
26880,"Hey Rach, remember that great song, Me, Myself, and I?"
26881,Monica! Come on!
26882,"Hey, does anybody want to get some lunch? All those in favor say I?"
26883,Ross! Stop it! Come on!
26884,How much did I love The King and I?
26885,Chandler!
26886,Me too! Me too! Me too!
26887,Just stop it! Come on!
26888,You okay there man?
26889,"Yeah, I got too excited!"
26890,"Monica and Rachel's, Ross, Chandler, Monica, and Phoebe are eating breakfast.]"
26891,"All right, I gotta go. I'm taking Ben to the park."
26892,"Ohh, give him a kiss for me!"
26893,"All right, bye!"
26894,Bye!
26895,Bye!
26896,Later!
26897,I am so sorry you got caught in the middle of that. I didn't mean to be so out there. I am furious with him!
26898,"Wow umm, calm down."
26899,"I'm trying, but man that guy can push my buttons!"
26900,Why are so mad at him?
26901,"Look, I don't wanna talk about it. Okay?"
26902,"Well, it just seems that"
26903,You wanna be on my list too? Keep talking! Has anyone seem my list by the way?
26904,"Uh, no Pheebs. What's it look like?"
26905,"Uh, it's a piece of paper and it says, ""Ross"" on it."
26906,Hey. I just got off the phone with Estelle and guess what.  I GOT THE LEAD IN A MOVIE!!!!!!
26907,You got the lead in a movie? That's amazing! What's the movie about?!
26908,"It's called Shutter Speed, it's really cool! Yeah, umm, I meet this girl in the subway and we fall in love in like a day, right? And then, she disappears But I find out where she lives and when I get there this like old lady answers the door and I say, ""Where's Betsy?"" Right? And she says, ""Betsy's been dead for 10 years."""
26909,"Ohh-oh, chilling!"
26910,"And the best part is, we're filming in the desert outside Vegas!  And you know what that means buddy!"
26911,"Yeah, I know that means buddy!"
26912,"Road trip! Yeah, we can rent a car! I just have to be there by Tuesday!"
26913,"Oh wait, my grandmother's dead."
26914,"Well, uh, we can talk about that too Pheebs."
26915,"No! No, her cab! She probably won't be using it; you can drive it to Las Vegas."
26916,All right! Thanks Pheebs!
26917,"Whoa-whoa-whoa, what are we going to do about my job?"
26918,"Oh umm, not go."
26919,"All right, great, road trip baby!  This okay with you?"
26920,Chandler! You don't have to ask for my permission.  You can go.
26921,Thank you.
26922,"Hey Rach, come on! We're gonna be late for the eye doctor appointment!"
26923,"All right! Let's get this over with! Ugh!  Ohhh! No! Look what I did!  Oh, I mean, look at this mess! I mean, we're probably gonna have to clean this up! Y'know? We're gonna have to reschedule!"
26924,"No. If you thought this mess is going to bother me, you are wrong! All right, let's go Blinky!  Chandler!!!!"
26925,"Central Perk, Joey is reading a map as Phoebe enters.]"
26926,Oh hey Joey! What's up?
26927,"I can't decide which route to take to Vegas. Hey, you've traveled a lot right?"
26928,"Yeah, I've been around."
26929,"Okay, so-so which route should I take the northern route or the southern route?"
26930,"Ooh, if you take the northern route there's a man in Illinois with a beard of bees. {Okay, I must protest this, I've lived in Illinois all my life and know of no man with a beard of bees! Wisconsin, on the other hand, might be a different story.}"
26931,Great! Problem solved!
26932,But on the southern route there's a chicken that plays tic-tac-toe.
26933,"Well, back to square one."
26934,"Oh, I know a way that you can decide! All right, I'm going to ask you a series of questions and you answer as quickly as you can."
26935,Yes!
26936,"Good, but wait. Okay, all right, here we go. Now I want you to relax. Take a deep breath. Clear your mind.  Which do you like better peanut butter or egg whites?"
26937,Peanut butter!
26938,Which would you rather be a fireman or a swimmer?
26939,A swimmer!
26940,Who would you rather sleep with Monica or Rachel?
26941,"Monica. Oh huh, I always thought it would be Rachel."
26942,No thinking! No thinking! Tie or ascot?
26943,Ascot!
26944,North route or south route?
26945,North route!
26946,Bamn! There you go! Huh?
26947,"Wow! That was incredible! Beard of bees, here I come!"
26948,Hey!
26949,"Oh, this guy again."
26950,"Hey man, what's up?"
26951,"Uhh, not much. You guys want to see a movie tonight?"
26952,"Sure, what do you want to see?"
26953,"I don't know, umm"
26954,"Oh, I know how we can decide. Phoebe, show him your game!"
26955,"Umm, no thank you."
26956,What's with her?
26957,"I don't know. But hey, I know we can decide. Okay, I'm gonna ask you questions and you answer real quick. Okay?"
26958,Okay.
26959,What do you like better action or comedy?
26960,Action.
26961,Who would you rather sleep with Monica or Rachel?
26962,"Dude, you are sick."
26963,"Oh, I'm sorry. I forgot you had that whole Rachel thing."
26964,"Monica's eye doctor's office, Monica and Rachel are waiting in an exam room and looking at this big white thing used to check eyes. I have no idea what it is, and if an ophthalmologist happens to know what that is, let me know.]"
26965,Oh my God! What does that thing do?
26966,Oh that's an eye removal machine.
26967,"All right, I'm outta here!"
26968,I'm kidding! I'm kidding!
26969,Hi Rachel!
26970,Hey!
26971,"I'm Dr. Miller. Monica told me you were a little nervous, but don't worry everything's gonna be just fine."
26972,So were done then!
26973,"Almost! But first, we gotta start."
26974,Okay.
26975,This is a glaucoma test.
26976,Uh-huh.
26977,Sit down.
26978,Okay.
26979,"But your chin here.  Now, you'll feel a small puff of air in each eye."
26980,What?!
26981,"A small puff of air, now come on!"
26982,Here we go.
26983,All right.
26984,123!
26985,"I'm sorry. All right, I'll just stay in here this time.  Okay."
26986,Ready?
26987,Uh-huh.
26988,12
26989,"Y'know what, I'm gonna hold her head."
26990,Okay.
26991,That's okay.
26992,Okay.
26993,Okay. Okay!
26994,12!   Y'know what? You're young; you probably don't have glaucoma.
26995,"Great!! It was very, very nice to meet you sir--Ow! Hey! What are you doing?! Are you crazy!"
26996,"Okay. You've got a small, minor infection in that left eye. I want you to take these drops three times a day and you'll be as good as new."
26997,"Yeah, no, I don't-I don't put things in my eye."
26998,"Okay then, I guess we'll see you back here in three months."
26999,Great!
27000,And I'll fit you for a glass eye.
27001,"Okay, just give me the damn drops!"
27002,Dr. Miller?  P E C F D.
27003,Very good Monica! You know where they are.
27004,I sure do!   And you don't get one!
27005,"Central Perk, Phoebe, Rachel, Monica, and Joey are there.]"
27006,"Y'know, I-I gotta tell ya, those eye drops are a miracle. My eye is a 100% better."
27007,They're still in my coat.
27008,Damn!
27009,Hey!
27010,Hey! You ready to go?
27011,"Yeah, listen, how cold is it going to be there? Do I need a coat or will all these sweater vests be enough?"
27012,What?
27013,I love you.
27014,"Man, I wish Ross was coming with us! Y'know? I'm gonna miss him!"
27015,Thanks a lot! I just got that jerk out of my mind!
27016,"Hey, so where are we staying? Is the movie putting us up in a big hotel suite?"
27017,"Uh no, not really. It's an independent film y'know? So we don't have a real big budget. I figured I'd just stay in your room."
27018,"I see, but once you get your first paycheck you'll be springing a big hotel suite, right? I mean, lead in a movie, they must be paying you a lot?"
27019,"Oh yeah! For every dollar Shutter Speed makes, one penny of it goes right in Joey's pocket."
27020,So you don't get paid unless the movie makes money?
27021,"Did you not hear the plot of the movie? ""She's been dead for ten years."" I'm gonna be a millionaire!"
27022,Hey!
27023,Hey!
27024,"I just wanna say good-bye to you guys and to see if you guys will place a little bet for me, huh? Twenty bucks on black 15."
27025,You got it!
27026,All right!
27027,"All right, bye-bye now!"
27028,Bye!
27029,Bye you guys!
27030,Bye-bye!
27031,I wanna say good-bye at the car!
27032,Okay!
27033,Anybody want to say good-bye to me at the car?
27034,"Oh honey, I'll say good-bye to you at the car if you don't mind the puss."
27035,See ya!
27036,"Well, wait a minute! The puss is good! It means it's healing!"
27037,"Hey Pheebs, what 'cha reading?  Pheebs?  Hello?  Phoebe?  Phoe-Phoebe!  Come on!"
27038,"Oh, I'm sorry. I didn't see you there."
27039,"Phoebe, are you, are you mad at me, or something? 'Cause if are please, tell me what it is I did!"
27040,"Well, if you don't know I can't help you."
27041,"Well, I don't know."
27042,"Well, I can't help you."
27043,"Well, whatever it is I'm-I'm very, very sorry. Okay?"
27044,Apology accepted.
27045,"Okay. So we're, we're good?"
27046,Uh-huh.
27047,"All right.  I'll uh, I'll see you later, okay?"
27048,"Bye, fat ass."
27049,ALL RIGHT!! Phoebe now come on! Will you please tell me what it is I did that mad you so mad at me!
27050,I don't know! I don't remember!
27051,"Well if you can't remember, can't we just forget about this?"
27052,"Oh no, I am mad at you. I know that much. But, I am sorry about the fat ass thing. You actually have a very sweet little hiney."
27053,"Phoebe's cab, Joey and Chandler are headed across the George Washington bridge on their way to Las Vegas. Joey is driving.]"
27054,"Man, I'm getting pretty tired. You're might have to take over soon."
27055,"We've been driving for a half-hour, and you haven't looked at the road once."
27056,"Don't worry, it's out there!  I think I just need lunch."
27057,Yeah.
27058,You wanna eat?  My treat!
27059,Isn't that Ross's money?
27060,Yeah. Okay. Ross's treat! Where do you wanna eat?
27061,I don't know.
27062,"Ooh, hey, I know how we can decide! All right, uh, I'm gonna ask you a bunch of questions and then you have to answer real fast. Okay? So uh, clear your mind Clear it right out! Clear it out! Clear!"
27063,Okay!
27064,"Okay, uhh, would you rather be too wet or too dry?"
27065,Too dry.
27066,"Do you believe in ghosts, yes or no?"
27067,No!
27068,Is this movie gonna be my big break?
27069,No!
27070,What?!
27071,Yes.
27072,"Dude you said, ""No!"""
27073,"I also said, ""Yes!"""
27074,You don't think this is going to be a big break for me?
27075,No!  Ahhh!!!
27076,I don't believe this!
27077,"Look Joe, I just, I just don't want to get your hopes up real high."
27078,What are you talking about?! I'm the lead in a movie!
27079,They're not even paying ya! This doesn't even sound like a real movie!
27080,Y'know what? I don't need this! Okay? I don't know why you're dumping all over my big break.
